Images, 16, 21, 32
Frog,1.95,1.92,1.93
Proposed, 1.69, 1.73, 1.65
France,7.49,10.45,13.33
Proposed, 6.99, 9.98, 12.69
Zelda,2.87,2.85,2.82
Proposed, 2.26, 2.32, 2.35
